divipola5,anio,hurto_personas_total,hurto_vehiculos_total,hurto_residencias_total,hurto_comercio_total,capturas_total,homicidios_total,estupefacientes_operativos,estupe_basuco_cantidad,estupe_marihuana_cantidad,hurto_total,gasto_planeado_total,gasto_vigilancia_armada,gasto_ejecutado_total,num_procesos,num_adjudicados,tasa_competencia_promedio,tasa_adjudicacion,share_vigilancia,tuvo_secop,poblacion,hurto_personas_per_capita,hurto_vehiculos_per_capita,hurto_residencias_per_capita,hurto_comercio_per_capita,hurto_total_per_capita,capturas_per_capita,homicidios_per_capita,estupefacientes_per_capita,gasto_per_capita,gasto_ejecutado_per_capita,gasto_vigilancia_per_capita
05001,2003,2102,5668.0,594.0,992.0,0.0,1924.0,0.0,0.0,0.0,9356.0,0.0,0.0,0.0,0.0,0.0,,,,0,2159609.0,9.733243378778289,26.245491660758958,2.750497891053427,4.593424087415824,43.322657018006495,0.0,8.909020105028272,0.0,0.0,0.0,0.0
05001,2004,2309,4084.0,560.0,619.0,0.0,1056.0,0.0,0.0,0.0,7572.0,0.0,0.0,0.0,0.0,0.0,,,,0,2187831.0,10.553831625934544,18.666889718630006,2.559612694033497,2.8292861742977404,34.609620212895784,0.0,4.826698223034595,0.0,0.0,0.0,0.0
05001,2005,3166,2708.0,530.0,713.0,0.0,737.0,0.0,0.0,0.0,7117.0,0.0,0.0,0.0,0.0,0.0,,,,0,2214494.0,14.296719702108021,12.22852714886561,2.3933232603023535,3.2196971407463737,32.13826725202236,0.0,3.328074043099688,0.0,0.0,0.0,0.0
05001,2006,1765,2430.0,309.0,501.0,0.0,685.0,0.0,0.0,0.0,5005.0,0.0,0.0,0.0,0.0,0.0,,,,0,2239003.0,7.882972912497213,10.853044859698715,1.3800785438876142,2.237603076011957,22.3536993920955,0.0,3.0593974192977855,0.0,0.0,0.0,0.0
05001,2007,1380,1983.0,141.0,342.0,0.0,652.0,0.0,0.0,0.0,3846.0,0.0,0.0,0.0,0.0,0.0,,,,0,2265244.0,6.09205895700419,8.754023849086456,0.622449502128689,1.5097711328227776,16.97830344104211,0.0,2.8782771304106753,0.0,0.0,0.0,0.0
05001,2008,2126,1886.0,337.0,364.0,0.0,855.0,0.0,0.0,0.0,4713.0,0.0,0.0,0.0,0.0,0.0,,,,0,2291378.0,9.278259632413333,8.230854970240616,1.4707307131341927,1.5885637376286235,20.568409053416765,0.0,3.7313791089903106,0.0,0.0,0.0,0.0
05001,2009,1746,2888.0,201.0,387.0,0.0,1416.0,0.0,0.0,0.0,5222.0,0.0,0.0,0.0,0.0,0.0,,,,0,2317336.0,7.534513769259184,12.462586349152648,0.8673752964611089,1.670021093186314,22.534496508059256,0.0,6.110464775069303,0.0,0.0,0.0,0.0
05001,2010,1383,1959.0,108.0,229.0,6745.0,1378.0,8959.0,170737.2,4564019.32,3679.0,0.0,0.0,0.0,0.0,0.0,,,,0,2343049.0,5.902565417966077,8.360900689656939,0.4609378634420364,0.9773589882243179,15.701762959289372,28.787276749227182,5.881225702065984,38.23650294978893,0.0,0.0,0.0
05001,2011,1434,6950.0,103.0,290.0,6997.0,1536.0,8651.0,173778.2,13384426.0,8777.0,0.0,0.0,0.0,0.0,0.0,,,,0,2368282.0,6.0550221637457025,29.346167390538795,0.43491442319791307,1.2245163371591727,37.06062031464158,29.544623486561147,6.485714116815481,36.528589078496566,0.0,0.0,0.0
05001,2012,2737,6945.0,380.0,855.0,6915.0,1229.0,9435.0,187237.7,7092827.4,10917.0,0.0,0.0,0.0,0.0,0.0,,,,0,2393011.0,11.43747354274594,29.02201452479742,1.5879575981890597,3.572904595925384,45.620350261657805,28.89664945125618,5.135789179406196,39.42731562872047,0.0,0.0,0.0
